,country,year,parent_company,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers,easy,medium,hard,unbranded,branded
1,Argentina,2019,Unbranded,0,155,50,532,848,122,114,17,1838,4,243,1125,663,50,1838,0
2,Argentina,2019,The_Coca-Cola_Company,0,0,0,0,222,35,0,0,257,4,243,257,0,0,0,257
3,Argentina,2019,Secco,0,0,0,0,39,4,0,0,43,4,243,43,0,0,0,43
4,Argentina,2019,Doble_Cola,0,0,0,0,38,0,0,0,38,4,243,38,0,0,0,38
5,Argentina,2019,Pritty,0,0,0,0,22,7,0,0,29,4,243,29,0,0,0,29
6,Argentina,2019,PepsiCo,0,0,0,0,21,6,0,0,27,4,243,27,0,0,0,27
7,Argentina,2019,Casoni,0,0,0,0,26,0,0,0,26,4,243,26,0,0,0,26
8,Argentina,2019,Villa_Del_Sur_-_Levite,0,0,0,0,19,1,0,0,20,4,243,20,0,0,0,20
9,Argentina,2019,Manaos,0,0,0,0,14,4,0,0,18,4,243,18,0,0,0,18
10,Argentina,2019,La_Bichy_Ahora,0,0,0,0,14,3,0,0,17,4,243,17,0,0,0,17
11,Argentina,2019,Villavicencio,0,0,0,0,14,1,0,0,15,4,243,15,0,0,0,15
12,Argentina,2019,Eco_De_Los_Andes,0,0,0,0,14,0,0,0,14,4,243,14,0,0,0,14
13,Argentina,2019,Cavatini,0,0,0,13,0,0,0,0,13,4,243,0,13,0,0,13
14,Argentina,2019,Villa_Del_Sur,0,0,0,0,8,3,0,0,11,4,243,11,0,0,0,11
15,Argentina,2019,Cepita,0,0,0,0,9,0,0,0,9,4,243,9,0,0,0,9
16,Argentina,2019,Livra,0,0,0,0,5,4,0,0,9,4,243,9,0,0,0,9
17,Argentina,2019,Nestlé,0,1,0,0,6,2,0,0,9,4,243,9,0,0,0,9
18,Argentina,2019,Vino_Toro,0,0,0,8,0,0,0,0,8,4,243,0,8,0,0,8
19,Argentina,2019,Frutafiel,0,0,0,0,6,1,0,0,7,4,243,7,0,0,0,7
20,Argentina,2019,Unilever,0,1,0,3,1,2,0,0,7,4,243,4,3,0,0,7
21,Argentina,2019,Arcor,0,0,0,1,0,5,0,0,6,4,243,5,1,0,0,6
